Alabama,AL,107,WTA,9,8,,66,27,23,795696,1255925,2074338,813479,1266546,2099819,662165,769044,1534349,1,
Alaska,AK,110,WTA,3,12-1,24-Oct,62,4,28,122640,164676,300495,123594,193841,326197,80380,122746,241620,1,
Arizona,AZ,142,WTA,11,9,12-Oct,56,5,27,1025232,1233654,2299254,1034707,1230111,2293475,653288,622073,1404405,1,
Arkansas,AR,101,WTA,6,8:30,24-Oct,73,16,21,394409,647744,1069468,422310,638017,1086617,475171,325416,884262,1,
California,CA,241,WTA,55,11,,38,7,31,7854285,4839958,13038547,8274473,5011781,13561900,5119835,3828380,10019484,,1
Colorado,CO,195,WTA,9,9,24-Oct,69,5,38,1323101,1185243,2569520,1288633,1073629,2401462,671152,691848,1510704,1,
Connecticut,CT,228,WTA,7,8,,68,12,37,905083,634892,1558960,997772,629428,1646797,735740,483109,1392614,,1
Delaware,DE,245,WTA,3,8,,63,22,29,242584,165484,413921,255459,152374,412412,140355,99062,270845,,2
DC,DC,315,WTA,3,8,30-Oct,36,48,53,267070,21381,293764,245800,17367,265853,158220,17339,185726,,
Florida,FL,191,WTA,29,7-8,29-Oct,55,17,27,4237756,4163447,8474179,4282074,4045624,8390744,2546870,2244536,5303794,,1
Georgia,GA,186,WTA,16,7,17-Oct,54,31,28,1773827,2078688,3900050,1844123,2048759,3924486,1053849,1080843,2299071,1,
Hawaii,HI,256,WTA,4,11,25-Oct,23,3,31,306658,121015,434697,325871,120566,453568,205012,113943,360120,,1
Idaho,ID,38,WTA,4,10-11,24-Oct,83,1,25,212787,420911,652274,236440,403012,655122,165443,256595,491719,1,
Illinois,IL,239,WTA,20,8,29-Sep,62,15,32,3019512,2135216,5242014,3419348,2031179,5522371,2341744,1587021,4311391,,1
Indiana,IN,115,WTA,11,6-7,11-Oct,80,9,24,1152887,1420543,2624534,1374039,1345648,2751054,887424,1006693,2135842,,1
Iowa,IA,125,WTA,6,10,,87,4,26,822544,730617,1582180,828940,682379,1537123,620258,492644,1234075,1,
Kansas,KS,101,WTA,6,8-9,1-Oct,76,6,31,440726,692634,1159971,514765,699655,1235872,387659,583245,1074300,1,
Kentucky,KY,66,WTA,8,6-7,,85,8,21,679370,1087190,1797212,751985,1048462,1826620,636614,623283,1388708,1,
Louisiana,LA,130,WTA,8,9,25-Oct,59,33,22,809141,1152262,1994065,782989,1148275,1960761,927837,712586,1783959,1,
Maine,ME,157,WTA,2,8,10-Oct,94,1,28,401306,292276,713180,421923,295273,731163,312788,186378,605897,1,1
Maine 1,ME1,0,CD,1,8,,,,,223035,142937,374419,232145,144604,383626,,,,,
Maine 2,ME2,0,CD,1,8,,,,,177998,149215,336226,189778,150669,347537,,,,,
Maryland,MD,284,WTA,10,8,27-Oct,52,31,37,1677844,971869,2707327,1629467,959862,2631596,966207,681530,1780870,,1
Massachusetts,MA,247,WTA,11,8,24-Oct,74,8,40,1921290,1188314,3167767,1904097,1108854,3080985,1571763,718107,2556785,,2
Michigan,MI,178,WTA,16,8-9,24-Sep,76,14,26,2564569,2115256,4730961,2872579,2048639,5001766,1989653,1481212,3848844,,2
Minnesota,MN,185,WTA,10,9,23-Sep,81,6,34,1546167,1320225,2936561,1573354,1275409,2910369,1120438,766476,2192640,,2
Mississippi,MS,142,WTA,6,8,,57,38,20,562949,710746,1285584,554662,724597,1289865,394022,439838,893857,2,
Missouri,MO,131,WTA,10,8,,80,12,27,1223796,1482440,2757323,1441911,1445814,2925205,1025935,890016,2158065,,1
Montana,MT,91,WTA,3,10,10-Oct,87,1,29,201839,267928,484048,231667,242763,490302,167922,179652,407261,1,1
Nebraska,NE,90,WTA,2,9,3-Oct,80,5,29,302081,475064,794379,333319,452979,801281,236761,363467,677415,2,
Nebraska 1,NE1,0,CD,1,9,,,,,108082,152021,263950,121411,148179,273893,,,,,
Nebraska 2,NE2,0,CD,1,9,,,,,121889,140976,266258,138809,135439,277809,,,,,
Nebraska 3,NE3,0,CD,1,9,,,,,72110,182067,258046,73099,169361,246742,,,,,
